Time,PPG
21.915,40
21.949,41
21.989,43
22.019,43
22.054,43
22.089,44
22.124,44
22.159,43
22.205,43
22.230,43
22.266,43
22.304,46
22.334,54
22.373,64
22.407,69
22.445,65
22.479,55
22.510,45
22.545,39
22.579,35
22.666,36
22.669,40
22.685,43
22.725,44
22.756,44
22.799,43
22.826,43
22.859,43
22.897,43
22.928,43
22.963,42
23.002,42
23.033,46
23.078,56
23.105,64
23.143,68
23.175,64
23.217,56
23.251,50
23.284,46
23.315,45
23.349,45
23.384,47
23.423,48
23.457,49
23.488,48
23.523,46
23.558,45
23.595,43
23.630,43
23.663,44
23.699,44
23.736,44
23.768,45
23.804,53
23.841,64
23.876,73
23.911,72
23.947,63
23.980,54
24.014,46
24.052,42
24.086,40
24.129,42
24.156,45
24.189,46
24.224,46
24.258,44
24.294,41
24.332,39
24.366,39
24.398,40
24.439,42
24.469,43
24.503,44
24.542,47
24.578,55
24.609,65
24.646,71
24.683,67
24.715,57
24.751,47
24.784,41
24.818,37
24.853,37
24.888,40
24.923,44
24.961,44
24.995,44
25.031,43
25.067,41
25.104,41
25.137,41
25.172,42
25.206,43
25.240,43
25.276,45
25.311,53
25.343,63
25.379,70
25.416,68
25.448,60
25.483,51
25.521,43
25.553,40
25.589,40
25.626,41
25.667,43
25.694,43
25.729,42
25.768,40
25.798,39
25.839,40
25.871,40
25.908,41
25.942,42
25.974,43
26.014,50
26.051,61
26.079,69
26.115,70
26.148,63
26.183,54
26.225,46
26.256,41
26.290,39
26.324,40
26.361,42
26.396,44
26.431,45
26.464,44
26.503,43
26.538,42
26.572,41
26.613,42
26.641,43
26.676,42
26.710,42
26.743,42
26.780,46
26.814,57
26.852,66
26.883,70
26.931,67
26.962,59
26.999,52
27.024,46
27.058,41
27.099,42
27.128,45
27.165,48
27.198,48
27.239,48
27.274,46
27.323,43
27.357,41
27.395,41
27.427,41
27.465,40
27.499,40
27.534,40
27.569,40
27.602,45
27.638,56
27.674,67
27.718,73
27.751,69
27.784,62
27.822,56
27.851,52
27.889,48
27.921,45
27.956,42
27.992,39
28.026,38
28.062,40
28.092,43
28.129,45
28.162,43
28.197,41
